,Category,NumberOfVotes,BookID,Hyperlink,Title,Rating,RatingCount,ReviewCount,Position,PositionAndTitle
128,History biography,11383,43821991,https://www.goodreads.com/book/show/43821991-the-only-plane-in-the-sky,The Only Plane in the Sky by Garrett M. Graff,4.73,9046,1764,6,6 - The Only Plane in the Sky by Garrett M. Graff
129,Science technology,9468,40405444,https://www.goodreads.com/book/show/40405444-digital-minimalism,Digital Minimalism by Cal Newport,4.07,25883,3120,6,6 - Digital Minimalism by Cal Newport
130,Food cookbooks,13561,41948849,https://www.goodreads.com/book/show/41948849-plant-based-on-a-budget,Plant-Based on a Budget by Toni Okamoto,4.21,338,65,6,6 - Plant-Based on a Budget by Toni Okamoto
131,Graphic novels comics,17730,38452813,https://www.goodreads.com/book/show/38452813-teen-titans,Teen Titans by Kami Garcia,3.97,8056,1546,6,6 - Teen Titans by Kami Garcia
132,Poetry,9311,41219132,https://www.goodreads.com/book/show/41219132-love-looks-pretty-on-you,Love Looks Pretty on You by Lang Leav,3.83,3226,454,6,6 - Love Looks Pretty on You by Lang Leav
133,Debut novel,16722,40514431,https://www.goodreads.com/book/show/40514431-evvie-drake-starts-over,Evvie Drake Starts Over by Linda  Holmes,3.88,64200,8242,6,6 - Evvie Drake Starts Over by Linda  Holmes
134,Young adult fiction,20395,41147279,https://www.goodreads.com/book/show/41147279-again-but-better,"Again, but Better by Christine Riccio",3.67,18049,4603,6,"6 - Again, but Better by Christine Riccio"
135,Young adult fantasy,20323,43822024,https://www.goodreads.com/book/show/43822024-the-toll,The Toll by Neal Shusterman,4.28,31487,5910,6,6 - The Toll by Neal Shusterman
136,Childrens,9798,40139216,https://www.goodreads.com/book/show/40139216-a-crystal-of-time,A Crystal of Time by Soman Chainani,4.52,3696,373,6,6 - A Crystal of Time by Soman Chainani
137,Picture,7954,42931503,https://www.goodreads.com/book/show/42931503-a-tiger-like-me,A Tiger Like Me by Michael Engler,4.03,1137,218,6,6 - A Tiger Like Me by Michael Engler
138,Fiction,20211,34313931,https://www.goodreads.com/book/show/34313931-a-woman-is-no-man,A Woman Is No Man by Etaf Rum,4.24,52679,6470,7,7 - A Woman Is No Man by Etaf Rum
140,Debut novel,12315,34313931,https://www.goodreads.com/book/show/34313931-a-woman-is-no-man,A Woman Is No Man by Etaf Rum,4.24,52679,6470,8,8 - A Woman Is No Man by Etaf Rum
142,Mystery thriller,18561,40697540,https://www.goodreads.com/book/show/40697540-run-away,Run Away by Harlan Coben,4.06,38115,3844,7,7 - Run Away by Harlan Coben
143,Historical fiction,22234,40130093,https://www.goodreads.com/book/show/40130093-once-upon-a-river,Once Upon a River by Diane Setterfield,3.98,41225,7064,7,7 - Once Upon a River by Diane Setterfield
144,Fantasy,25671,37638128,https://www.goodreads.com/book/show/37638128-of-blood-and-bone,Of Blood and Bone by Nora Roberts,4.29,25194,2331,7,7 - Of Blood and Bone by Nora Roberts
145,Romance,17513,41450662,https://www.goodreads.com/book/show/41450662-the-kiss-thief,The Kiss Thief by L.J. Shen,4.06,37696,4899,7,7 - The Kiss Thief by L.J. Shen
146,Science fiction,13508,42260978,https://www.goodreads.com/book/show/42260978-machines-like-me,Machines Like Me by Ian McEwan,3.61,15242,2149,7,7 - Machines Like Me by Ian McEwan
147,Horror,7352,42815544,https://www.goodreads.com/book/show/42815544-bunny,Bunny by Mona Awad,3.5,10557,2695,7,7 - Bunny by Mona Awad
148,Humor,9402,41429806,https://www.goodreads.com/book/show/41429806-riding-the-elephant,Riding the Elephant by Craig Ferguson,4.02,1654,236,7,7 - Riding the Elephant by Craig Ferguson
149,Nonfiction,15892,42201100,https://www.goodreads.com/book/show/42201100-three-women,Three Women by Lisa Taddeo,3.7,59771,5927,7,7 - Three Women by Lisa Taddeo
150,Memoir autobiography,12918,45167624,https://www.goodreads.com/book/show/45167624-inside-out,Inside Out by Demi Moore,3.87,21045,2422,7,7 - Inside Out by Demi Moore
151,History biography,10097,42201377,https://www.goodreads.com/book/show/42201377-the-pioneers,The Pioneers by David McCullough,3.76,11264,1777,7,7 - The Pioneers by David McCullough
152,Science technology,8174,41552709,https://www.goodreads.com/book/show/41552709-the-uninhabitable-earth,The Uninhabitable Earth by David Wallace-Wells,4.1,12526,2269,7,7 - The Uninhabitable Earth by David Wallace-Wells
153,Food cookbooks,13416,42583941,https://www.goodreads.com/book/show/42583941-let-s-make-ramen,Let's Make Ramen! by Hugh Amano,4.18,620,105,7,7 - Let's Make Ramen! by Hugh Amano
154,Graphic novels comics,16832,38524301,https://www.goodreads.com/book/show/38524301-shades-of-magic-vol-1,Shades of Magic Vol. 1 by V.E. Schwab,3.7,7453,708,7,7 - Shades of Magic Vol. 1 by V.E. Schwab
155,Poetry,8200,40046136,https://www.goodreads.com/book/show/40046136-a-bound-woman-is-a-dangerous-thing,A Bound Woman Is a Dangerous Thing by DaMaris B. Hill,3.99,424,108,7,7 - A Bound Woman Is a Dangerous Thing by DaMaris B. Hill
156,Young adult fiction,16048,41473872,https://www.goodreads.com/book/show/41473872-i-wish-you-all-the-best,I Wish You All the Best by Mason Deaver,4.13,10847,2536,7,7 - I Wish You All the Best by Mason Deaver
157,Young adult fantasy,17037,43204703,https://www.goodreads.com/book/show/43204703-a-curse-so-dark-and-lonely,A Curse So Dark and Lonely by Brigid Kemmerer,4.18,41402,8623,7,7 - A Curse So Dark and Lonely by Brigid Kemmerer
158,Childrens,9008,34966859,https://www.goodreads.com/book/show/34966859-dragon-pearl,Dragon Pearl by Yoon Ha Lee,3.82,4804,1134,7,7 - Dragon Pearl by Yoon Ha Lee
159,Picture,7396,38791999,https://www.goodreads.com/book/show/38791999-because,Because by Mo Willems,4.27,2812,477,7,7 - Because by Mo Willems
160,Fiction,15892,41723456,https://www.goodreads.com/book/show/41723456-the-overdue-life-of-amy-byler,The Overdue Life of Amy Byler by Kelly Harms,3.87,60497,5966,8,8 - The Overdue Life of Amy Byler by Kelly Harms
161,Mystery thriller,17079,42368604,https://www.goodreads.com/book/show/42368604-lock-every-door,Lock Every Door by Riley Sager,3.93,53697,8526,8,8 - Lock Every Door by Riley Sager
162,Historical fiction,19298,41556734,https://www.goodreads.com/book/show/41556734-the-lost-girls-of-paris,The Lost Girls of Paris by Pam Jenoff,3.88,51588,5736,8,8 - The Lost Girls of Paris by Pam Jenoff
163,Fantasy,22383,40524748,https://www.goodreads.com/book/show/40524748-storm-cursed,Storm Cursed by Patricia Briggs,4.43,20900,2170,8,8 - Storm Cursed by Patricia Briggs
164,Romance,17495,41150287,https://www.goodreads.com/book/show/41150287-the-flatshare,The Flatshare by Beth O'Leary,4.13,71669,10827,8,8 - The Flatshare by Beth O'Leary
165,Science fiction,11829,52222275,https://www.goodreads.com/book/show/52222275-exhalation,Exhalation by Ted Chiang,4.29,25822,3662,8,8 - Exhalation by Ted Chiang
166,Horror,5825,40725252,https://www.goodreads.com/book/show/40725252-wakenhyrst,Wakenhyrst by Michelle Paver,3.93,7101,921,8,8 - Wakenhyrst by Michelle Paver
167,Humor,8649,42506471,https://www.goodreads.com/book/show/42506471-hope-rides-again,Hope Rides Again by Andrew Shaffer,3.59,1371,342,8,8 - Hope Rides Again by Andrew Shaffer
168,Nonfiction,14825,43231095,https://www.goodreads.com/book/show/43231095-american-predator,American Predator by Maureen Callahan,4.08,12639,1693,8,8 - American Predator by Maureen Callahan
169,Memoir autobiography,9791,42202117,https://www.goodreads.com/book/show/42202117-from-scratch,From Scratch by Tembi Locke,3.9,13303,1421,8,8 - From Scratch by Tembi Locke
170,History biography,8874,40594422,https://www.goodreads.com/book/show/40594422-first,First by Evan Thomas,4.23,2098,383,8,8 - First by Evan Thomas
171,Science technology,7023,41817481,https://www.goodreads.com/book/show/41817481-underland,Underland by Robert Macfarlane,4.24,4736,948,8,8 - Underland by Robert Macfarlane
172,Food cookbooks,11220,41644326,https://www.goodreads.com/book/show/41644326-save-me-the-plums,Save Me the Plums by Ruth Reichl,4.1,17667,2434,8,8 - Save Me the Plums by Ruth Reichl
173,Graphic novels comics,14237,21801668,https://www.goodreads.com/book/show/21801668-the-umbrella-academy-vol-3,"The Umbrella Academy, Vol. 3 by Gerard Way",3.66,3465,431,8,"8 - The Umbrella Academy, Vol. 3 by Gerard Way"
174,Poetry,7741,43453732,https://www.goodreads.com/book/show/43453732-when-you-ask-me-where-i-m-going,When You Ask Me Where I'm Going by Jasmin Kaur,3.97,938,218,8,8 - When You Ask Me Where I'm Going by Jasmin Kaur
175,Young adult fiction,15030,39893545,https://www.goodreads.com/book/show/39893545-the-vanishing-stair,The Vanishing Stair by Maureen Johnson,4.26,23752,4127,8,8 - The Vanishing Stair by Maureen Johnson
176,Young adult fantasy,15942,40381392,https://www.goodreads.com/book/show/40381392-finale,Finale by Stephanie Garber,4.18,31744,5073,8,8 - Finale by Stephanie Garber
177,Childrens,8726,43120234,https://www.goodreads.com/book/show/43120234-diary-of-an-awesome-friendly-kid,Diary of an Awesome Friendly Kid by Jeff Kinney,4.06,16981,589,8,8 - Diary of an Awesome Friendly Kid by Jeff Kinney
178,Picture,6069,41451728,https://www.goodreads.com/book/show/41451728-we-are-not-friends,We Are (Not) Friends by Anna Kang,3.86,1902,196,8,8 - We Are (Not) Friends by Anna Kang
